List of packages in environment: "/opt/conda"

  Name                               Version       Build                    Channel    
  r-downlit                          0.4.3         r43hc72bb7e_0            conda-forge
  r-dplyr                            1.1.3         r43ha503ecb_0            conda-forge
  r-dqrng                            0.3.1         r43ha503ecb_0            conda-forge
  r-e1071                            1.7_13        r43ha503ecb_1            conda-forge
  r-ellipsis                         0.3.2         r43h57805ef_2            conda-forge
  r-evaluate                         0.21          r43hc72bb7e_1            conda-forge
  r-fansi                            1.0.4         r43h57805ef_1            conda-forge
  r-farver                           2.1.1         r43ha503ecb_2            conda-forge
  r-fastmap                          1.1.1         r43ha503ecb_1            conda-forge
  r-filelock                         1.0.2         r43h57805ef_1004         conda-forge
  r-fnn                              1.1.3.2       r43ha503ecb_1            conda-forge
  r-fontawesome                      0.5.2         r43hc72bb7e_0            conda-forge
  r-forcats                          1.0.0         r43hc72bb7e_1            conda-forge
  r-foreach                          1.5.2         r43hc72bb7e_2            conda-forge
  r-foreign                          0.8_85        r43h57805ef_0            conda-forge
  r-formatr                          1.14          r43hc72bb7e_1            conda-forge
  r-formula                          1.2_5         r43hc72bb7e_1            conda-forge
  r-fs                               1.6.3         r43ha503ecb_0            conda-forge
  r-futile.logger                    1.4.3         r43hc72bb7e_1005         conda-forge
  r-futile.options                   1.0.1         r43hc72bb7e_1004         conda-forge
  r-future                           1.33.0        r43hc72bb7e_0            conda-forge
  r-future.apply                     1.11.0        r43hc72bb7e_1            conda-forge
  r-generics                         0.1.3         r43hc72bb7e_2            conda-forge
  r-gert                             1.9.3         r43hc25a090_1            conda-forge
  r-getoptlong                       1.0.5         r43hc72bb7e_2            conda-forge
  r-ggbeeswarm                       0.7.2         r43hc72bb7e_1            conda-forge
  r-ggplot2                          3.4.3         r43hc72bb7e_0            conda-forge
  r-ggpubr                           0.6.0         r43hc72bb7e_1            conda-forge
  r-ggrastr                          1.0.2         r43hc72bb7e_1            conda-forge
  r-ggrepel                          0.9.3         r43ha503ecb_1            conda-forge
  r-ggsci                            3.0.0         r43hc72bb7e_1            conda-forge
  r-ggsignif                         0.6.4         r43hc72bb7e_1            conda-forge
  r-gh                               1.4.0         r43hc72bb7e_1            conda-forge
  r-gitcreds                         0.1.2         r43hc72bb7e_2            conda-forge
  r-globaloptions                    0.1.2         r43ha770c72_2            conda-forge
  r-globals                          0.16.2        r43hc72bb7e_1            conda-forge
  r-glue                             1.6.2         r43h57805ef_2            conda-forge
  r-gower                            1.0.1         r43h57805ef_1            conda-forge
  r-gridextra                        2.3           r43hc72bb7e_1005         conda-forge
  r-gtable                           0.3.4         r43hc72bb7e_0            conda-forge
  r-hardhat                          1.3.0         r43hc72bb7e_1            conda-forge
  r-haven                            2.5.3         r43ha503ecb_0            conda-forge
  r-here                             1.0.1         r43hc72bb7e_2            conda-forge
  r-highr                            0.10          r43hc72bb7e_1            conda-forge
  r-hms                              1.1.3         r43hc72bb7e_1            conda-forge
  r-htmltools                        0.5.6         r43ha503ecb_0            conda-forge
  r-htmlwidgets                      1.6.2         r43hc72bb7e_1            conda-forge
  r-httpuv                           1.6.11        r43ha503ecb_1            conda-forge
  r-httr                             1.4.7         r43hc72bb7e_0            conda-forge
  r-httr2                            0.2.3         r43hc72bb7e_1            conda-forge
  r-igraph                           1.5.1         r43hbd8eb98_0            conda-forge
  r-ini                              0.3.1         r43hc72bb7e_1005         conda-forge
  r-ipred                            0.9_14        r43h57805ef_1            conda-forge
  r-irlba                            2.3.5.1       r43h316c678_1            conda-forge
  r-isoband                          0.2.7         r43ha503ecb_2            conda-forge
  r-iterators                        1.0.14        r43hc72bb7e_2            conda-forge
  r-jquerylib                        0.1.4         r43hc72bb7e_2            conda-forge
  r-jsonlite                         1.8.7         r43h57805ef_0            conda-forge
  r-kernsmooth                       2.23_22       r43h13b3f57_0            conda-forge
  r-knitr                            1.44          r43hc72bb7e_0            conda-forge
  r-labeling                         0.4.3         r43hc72bb7e_0            conda-forge
  r-lambda.r                         1.2.4         r43hc72bb7e_3            conda-forge
  r-later                            1.3.1         r43ha503ecb_1            conda-forge
  r-lattice                          0.21_8        r43h57805ef_1            conda-forge
  r-lava                             1.7.2.1       r43hc72bb7e_1            conda-forge
  r-lifecycle                        1.0.3         r43hc72bb7e_2            conda-forge
  r-listenv                          0.9.0         r43hc72bb7e_1            conda-forge
  r-lme4                             1.1_34        r43ha503ecb_0            conda-forge
  r-locfit                           1.5_9.8       r43h57805ef_1            conda-forge
  r-lubridate                        1.9.2         r43h57805ef_2            conda-forge
  r-magrittr                         2.0.3         r43h57805ef_2            conda-forge
  r-maptools                         1.1_8         r43h57805ef_0            conda-forge
  r-mass                             7.3_60        r43h57805ef_1            conda-forge
  r-matrix                           1.6_1         r43h316c678_0            conda-forge
  r-matrixmodels                     0.5_2         r43hc72bb7e_0            conda-forge
  r-matrixstats                      1.0.0         r43h57805ef_1            conda-forge
  r-maxlik                           1.5_2         r43hc72bb7e_2            conda-forge
  r-mclust                           6.0.0         r43hd9ac46e_1            conda-forge
  r-memoise                          2.0.1         r43hc72bb7e_2            conda-forge
  r-mgcv                             1.9_0         r43h316c678_0            conda-forge
  r-mime                             0.12          r43h57805ef_2            conda-forge
  r-miniui                           0.1.1.1       r43hc72bb7e_1004         conda-forge
  r-minqa                            1.2.6         r43hcf54a89_0            conda-forge
  r-misctools                        0.6_28        r43hc72bb7e_1            conda-forge
  r-modelmetrics                     1.2.2.2       r43ha503ecb_3            conda-forge
  r-munsell                          0.5.0         r43hc72bb7e_1006         conda-forge
  r-nlme                             3.1_163       r43h61816a4_0            conda-forge
  r-nloptr                           2.0.3         r43hcf54a89_2            conda-forge
  r-nnet                             7.3_19        r43h57805ef_1            conda-forge
  r-numderiv                         2016.8_1.1    r43hc72bb7e_5            conda-forge
  r-openssl                          2.0.6         r43hb353fa6_1            conda-forge
  r-openxlsx                         4.2.5.2       r43ha503ecb_1            conda-forge
  r-parallelly                       1.36.0        r43hc72bb7e_1            conda-forge
  r-pbkrtest                         0.5.2         r43hc72bb7e_1            conda-forge
  r-pheatmap                         1.0.12        r43hc72bb7e_4            conda-forge
  r-pillar                           1.9.0         r43hc72bb7e_1            conda-forge
  r-pkgbuild                         1.4.2         r43hc72bb7e_0            conda-forge
  r-pkgconfig                        2.0.3         r43hc72bb7e_3            conda-forge
  r-pkgdown                          2.0.7         r43hc72bb7e_1            conda-forge
  r-pkgload                          1.3.2.1       r43hc72bb7e_0            conda-forge
  r-plogr                            0.2.0         r43hc72bb7e_1005         conda-forge
  r-plyr                             1.8.8         r43ha503ecb_1            conda-forge
  r-png                              0.1_8         r43h81d01c5_1            conda-forge
  r-polynom                          1.4_1         r43hc72bb7e_2            conda-forge
  r-praise                           1.0.0         r43hc72bb7e_1007         conda-forge
  r-prettyunits                      1.1.1         r43hc72bb7e_3            conda-forge
  r-proc                             1.18.4        r43ha503ecb_0            conda-forge
  r-processx                         3.8.2         r43h57805ef_0            conda-forge
  r-prodlim                          2023.08.28    r43ha503ecb_0            conda-forge
  r-profvis                          0.3.8         r43h57805ef_3            conda-forge
  r-progress                         1.2.2         r43hc72bb7e_4            conda-forge
  r-progressr                        0.14.0        r43hc72bb7e_0            conda-forge
  r-promises                         1.2.1         r43ha503ecb_0            conda-forge
  r-proxy                            0.4_27        r43h57805ef_2            conda-forge
  r-ps                               1.7.5         r43h57805ef_1            conda-forge
  r-purrr                            1.0.2         r43h57805ef_0            conda-forge
  r-quantreg                         5.97          r43hd9ac46e_0            conda-forge
  r-r6                               2.5.1         r43hc72bb7e_2            conda-forge
  r-ragg                             1.2.5         r43h85cdef0_2            conda-forge
  r-rappdirs                         0.3.3         r43h57805ef_2            conda-forge
  r-rcmdcheck                        1.4.0         r43h785f33e_2            conda-forge
  r-rcolorbrewer                     1.1_3         r43h785f33e_2            conda-forge
  r-rcpp                             1.0.11        r43h7df8631_0            conda-forge
  r-rcppannoy                        0.0.21        r43ha503ecb_0            conda-forge
  r-rcpparmadillo                    0.12.6.4.0    r43h08d816e_0            conda-forge
  r-rcppdist                         0.1.1         r43h08d816e_2            conda-forge
  r-rcppeigen                        0.3.3.9.3     r43h08d816e_1            conda-forge
  r-rcpphnsw                         0.4.1         r43ha503ecb_2            conda-forge
  r-rcppml                           0.3.7         r43ha503ecb_1            conda-forge
  r-rcppprogress                     0.4.2         r43hc72bb7e_3            conda-forge
  r-rcpptoml                         0.2.2         r43ha503ecb_1            conda-forge
  r-rcurl                            1.98_1.12     r43hf9611b0_3            conda-forge
  r-readr                            2.1.4         r43ha503ecb_1            conda-forge
  r-readxl                           1.4.3         r43ha5c9fba_0            conda-forge
  r-recipes                          1.0.8         r43hc72bb7e_0            conda-forge
  r-recommended                      4.3           r43hd8ed1ab_1006         conda-forge
  r-rematch                          2.0.0         r43hc72bb7e_0            conda-forge
  r-rematch2                         2.1.2         r43hc72bb7e_3            conda-forge
  r-remotes                          2.4.2.1       r43hc72bb7e_0            conda-forge
  r-reshape2                         1.4.4         r43ha503ecb_3            conda-forge
  r-reticulate                       1.31          r43ha503ecb_0            conda-forge
  r-rio                              0.5.30        r43hc72bb7e_0            conda-forge
  r-rjson                            0.2.21        r43ha503ecb_3            conda-forge
  r-rlang                            1.1.1         r43ha503ecb_1            conda-forge
  r-rmarkdown                        2.24          r43hc72bb7e_0            conda-forge
  r-roxygen2                         7.2.3         r43ha503ecb_1            conda-forge
  r-rpart                            4.1.19        r43h57805ef_1            conda-forge
  r-rprojroot                        2.0.3         r43hc72bb7e_0            conda-forge
  r-rspectra                         0.16_1        r43h08d816e_2            conda-forge
  r-rsqlite                          2.3.1         r43ha503ecb_1            conda-forge
  r-rstatix                          0.7.2         r43hc72bb7e_1            conda-forge
  r-rstudioapi                       0.15.0        r43hc72bb7e_0            conda-forge
  r-rsvd                             1.0.5         r43hc72bb7e_2            conda-forge
  r-rtsne                            0.16          r43h7ce84a7_2            conda-forge
  r-rversions                        2.1.2         r43hc72bb7e_2            conda-forge
  r-sandwich                         3.0_2         r43hc72bb7e_2            conda-forge
  r-sass                             0.4.7         r43ha503ecb_0            conda-forge
  r-scales                           1.2.1         r43hc72bb7e_2            conda-forge
  r-sessioninfo                      1.2.2         r43hc72bb7e_2            conda-forge
  r-shape                            1.4.6         r43ha770c72_2            conda-forge
  r-shiny                            1.7.5         r43h785f33e_0            conda-forge
  r-sitmo                            2.0.2         r43ha503ecb_2            conda-forge
  r-snow                             0.4_4         r43hc72bb7e_2            conda-forge
  r-sourcetools                      0.1.7_1       r43ha503ecb_1            conda-forge
  r-sp                               2.0_0         r43h57805ef_0            conda-forge
  r-sparsem                          1.81          r43h61816a4_2            conda-forge
  r-spatial                          7.3_17        r43h57805ef_0            conda-forge
  r-squarem                          2021.1        r43hc72bb7e_2            conda-forge
  r-statmod                          1.5.0         r43hd8f1df9_1            conda-forge
  r-stringi                          1.7.12        r43hc0c3e09_2            conda-forge
  r-stringr                          1.5.0         r43h785f33e_1            conda-forge
  r-survival                         3.5_7         r43h57805ef_0            conda-forge
  r-sys                              3.4.2         r43h57805ef_1            conda-forge
  r-systemfonts                      1.0.4         r43haf97adc_2            conda-forge
  r-testthat                         3.1.10        r43ha503ecb_0            conda-forge
  r-textshaping                      0.3.6         r43h24cd192_6            conda-forge
  r-tibble                           3.2.1         r43h57805ef_2            conda-forge
  r-tidyr                            1.3.0         r43ha503ecb_1            conda-forge
  r-tidyselect                       1.2.0         r43hc72bb7e_1            conda-forge
  r-timechange                       0.2.0         r43ha503ecb_1            conda-forge
  r-timedate                         4022.108      r43hc72bb7e_1            conda-forge
  r-tinytex                          0.46          r43hc72bb7e_0            conda-forge
  r-tzdb                             0.4.0         r43ha503ecb_1            conda-forge
  r-urlchecker                       1.0.1         r43hc72bb7e_2            conda-forge
  r-usethis                          2.2.2         r43hc72bb7e_0            conda-forge
  r-utf8                             1.2.3         r43h57805ef_1            conda-forge
  r-uwot                             0.1.16        r43ha503ecb_0            conda-forge
  r-vctrs                            0.6.3         r43ha503ecb_0            conda-forge
  r-vipor                            0.4.5         r43hc72bb7e_1005         conda-forge
  r-viridis                          0.6.4         r43hc72bb7e_0            conda-forge
  r-viridislite                      0.4.2         r43hc72bb7e_1            conda-forge
  r-vroom                            1.6.3         r43ha503ecb_1            conda-forge
  r-waldo                            0.5.1         r43hc72bb7e_1            conda-forge
  r-whisker                          0.4.1         r43hc72bb7e_1            conda-forge
  r-withr                            2.5.0         r43hc72bb7e_2            conda-forge
  r-xfun                             0.40          r43ha503ecb_0            conda-forge
  r-xgboost                          1.7.6         cpu_r43h6728c87_2        conda-forge
  r-xml2                             1.3.5         r43h1ad5fc0_0            conda-forge
  r-xopen                            1.0.0         r43hc72bb7e_1005         conda-forge
  r-xtable                           1.8_4         r43hc72bb7e_5            conda-forge
  r-yaml                             2.3.7         r43h57805ef_1            conda-forge
  r-zip                              2.3.0         r43h57805ef_1            conda-forge
  r-zoo                              1.8_12        r43h57805ef_1            conda-forge
  rav1e                              0.6.6         he8a937b_2               conda-forge
  rdma-core                          28.9          h59595ed_1               conda-forge
  re2                                2023.03.02    h8c504da_0               conda-forge
  readline                           8.2           h8228510_1               conda-forge
  referencing                        0.30.2        pyhd8ed1ab_0             conda-forge
  requests                           2.31.0        pyhd8ed1ab_0             conda-forge
  requests-cache                     1.1.0         pyhd8ed1ab_0             conda-forge
  rfc3339-validator                  0.1.4         pyhd8ed1ab_0             conda-forge
  rfc3986-validator                  0.1.1         pyh9f0ad1d_0             conda-forge
  rpds-py                            0.10.2        py310hcb5633a_0          conda-forge
  rpy2                               3.5.11        py310r43h278f3c1_2       conda-forge
  ruamel.yaml                        0.17.32       py310h2372a71_0          conda-forge
  ruamel.yaml.clib                   0.2.7         py310h1fa729e_1          conda-forge
  s2n                                1.3.49        h06160fa_0               conda-forge
  scanpy                             1.8.2         pyhd8ed1ab_0             conda-forge
  scikit-image                       0.21.0        py310hc6cd4ac_0          conda-forge
  scikit-learn                       1.3.0         py310hf7d194e_0          conda-forge
  scipy                              1.11.2        py310ha4c1d20_0          conda-forge
  seaborn                            0.12.2        hd8ed1ab_0               conda-forge
  seaborn-base                       0.12.2        pyhd8ed1ab_0             conda-forge
  sed                                4.8           he412f7d_0               conda-forge
  send2trash                         1.8.2         pyh41d4057_0             conda-forge
  setuptools                         68.1.2        pyhd8ed1ab_0             conda-forge
  shapely                            2.0.1         py310h7dcad9a_2          conda-forge
  simplegeneric                      0.8.1         py_1                     conda-forge
  sinfo                              0.3.1         py_0                     conda-forge
  sip                                6.7.11        py310hc6cd4ac_0          conda-forge
  six                                1.16.0        pyh6c4a22f_0             conda-forge
  slicerator                         1.1.0         pyhd8ed1ab_0             conda-forge
  snappy                             1.1.10        h9fff704_0               conda-forge
  sniffio                            1.3.0         pyhd8ed1ab_0             conda-forge
  sortedcontainers                   2.4.0         pyhd8ed1ab_0             conda-forge
  soupsieve                          2.5           pyhd8ed1ab_1             conda-forge
  squidpy                            1.2.3         pyhd8ed1ab_0             conda-forge
  stack_data                         0.6.2         pyhd8ed1ab_0             conda-forge
  statsmodels                        0.14.0        py310h278f3c1_1          conda-forge
  stdlib-list                        0.8.0         pyhd8ed1ab_0             conda-forge
  svt-av1                            1.7.0         h59595ed_0               conda-forge
  sysroot_linux-64                   2.12          he073ed8_16              conda-forge
  tbb                                2021.10.0     h00ab1b0_0               conda-forge
  tblib                              1.7.0         pyhd8ed1ab_0             conda-forge
  terminado                          0.17.1        pyh41d4057_0             conda-forge
  texttable                          1.6.7         pyhd8ed1ab_0             conda-forge
  threadpoolctl                      3.2.0         pyha21a80b_0             conda-forge
  tifffile                           2023.8.30     pyhd8ed1ab_0             conda-forge
  tinycss2                           1.2.1         pyhd8ed1ab_0             conda-forge
  tk                                 8.6.12        h27826a3_0               conda-forge
  tktable                            2.10          hb7b940f_3               conda-forge
  toml                               0.10.2        pyhd8ed1ab_0             conda-forge
  tomli                              2.0.1         pyhd8ed1ab_0             conda-forge
  tomlkit                            0.12.1        pyha770c72_0             conda-forge
  toolz                              0.12.0        pyhd8ed1ab_0             conda-forge
  tornado                            6.3.3         py310h2372a71_0          conda-forge
  tqdm                               4.66.1        pyhd8ed1ab_0             conda-forge
  traitlets                          5.9.0         pyhd8ed1ab_0             conda-forge
  typing-extensions                  4.7.1         hd8ed1ab_0               conda-forge
  typing_extensions                  4.7.1         pyha770c72_0             conda-forge
  typing_utils                       0.1.0         pyhd8ed1ab_0             conda-forge
  tzdata                             2023c         h71feb2d_0               conda-forge
  tzlocal                            5.0.1         py310hff52083_0          conda-forge
  ucx                                1.14.1        h64cca9d_4               conda-forge
  ujson                              5.7.0         py310heca2aa9_0          conda-forge
  umap-learn                         0.5.3         py310hff52083_1          conda-forge
  unicodedata2                       15.0.0        py310h5764c6d_0          conda-forge
  uri-template                       1.3.0         pyhd8ed1ab_0             conda-forge
  url-normalize                      1.4.3         pyhd8ed1ab_0             conda-forge
  urllib3                            2.0.4         pyhd8ed1ab_0             conda-forge
  validators                         0.22.0        pyhd8ed1ab_0             conda-forge
  wcwidth                            0.2.6         pyhd8ed1ab_0             conda-forge
  webcolors                          1.13          pyhd8ed1ab_0             conda-forge
  webencodings                       0.5.1         py_1                     conda-forge
  websocket-client                   1.6.3         pyhd8ed1ab_0             conda-forge
  wheel                              0.41.2        pyhd8ed1ab_0             conda-forge
  wrapt                              1.15.0        py310h1fa729e_0          conda-forge
  xarray                             2023.8.0      pyhd8ed1ab_0             conda-forge
  xcb-util                           0.4.0         hd590300_1               conda-forge
  xcb-util-image                     0.4.0         h8ee46fc_1               conda-forge
  xcb-util-keysyms                   0.4.0         h8ee46fc_1               conda-forge
  xcb-util-renderutil                0.3.9         hd590300_1               conda-forge
  xcb-util-wm                        0.4.1         h8ee46fc_1               conda-forge
  xkeyboard-config                   2.39          hd590300_0               conda-forge
  xlsxwriter                         3.1.3         pyhd8ed1ab_0             conda-forge
  xmltodict                          0.13.0        pyhd8ed1ab_0             conda-forge
  xorg-kbproto                       1.0.7         h7f98852_1002            conda-forge
  xorg-libice                        1.1.1         hd590300_0               conda-forge
  xorg-libsm                         1.2.4         h7391055_0               conda-forge
  xorg-libx11                        1.8.6         h8ee46fc_0               conda-forge
  xorg-libxau                        1.0.11        hd590300_0               conda-forge
  xorg-libxdmcp                      1.1.3         h7f98852_0               conda-forge
  xorg-libxext                       1.3.4         h0b41bf4_2               conda-forge
  xorg-libxrender                    0.9.11        hd590300_0               conda-forge
  xorg-libxt                         1.3.0         hd590300_1               conda-forge
  xorg-renderproto                   0.11.1        h7f98852_1002            conda-forge
  xorg-xextproto                     7.3.0         h0b41bf4_1003            conda-forge
  xorg-xf86vidmodeproto              2.3.1         h7f98852_1002            conda-forge
  xorg-xproto                        7.0.31        h7f98852_1007            conda-forge
  xyzservices                        2023.7.0      pyhd8ed1ab_0             conda-forge
  xz                                 5.2.6         h166bdaf_0               conda-forge
  yaml                               0.2.5         h7f98852_2               conda-forge
  yarl                               1.9.2         py310h2372a71_0          conda-forge
  yq                                 3.2.3         pyhd8ed1ab_0             conda-forge
  zarr                               2.16.1        pyhd8ed1ab_0             conda-forge
  zeromq                             4.3.4         h9c3ff4c_1               conda-forge
  zfp                                1.0.0         h27087fc_3               conda-forge
  zict                               3.0.0         pyhd8ed1ab_0             conda-forge
  zipp                               3.16.2        pyhd8ed1ab_0             conda-forge
  zlib                               1.2.13        hd590300_5               conda-forge
  zlib-ng                            2.0.7         h0b41bf4_0               conda-forge
  zstandard                          0.19.0        py310h5764c6d_0          conda-forge
  zstd                               1.5.5         hfc55251_0               conda-forge
